title_y,cluster_id
Avatar,2
Pirates of the Caribbean: At World's End,2
Spectre,2
The Dark Knight Rises,2
John Carter,2
Spider-Man 3,2
Tangled,2
Avengers: Age of Ultron,2
Harry Potter and the Half-Blood Prince,2
Batman v Superman: Dawn of Justice,2
Superman Returns,2
Quantum of Solace,2
Pirates of the Caribbean: Dead Man's Chest,2
The Lone Ranger,2
Man of Steel,2
The Chronicles of Narnia: Prince Caspian,2
The Avengers,2
Pirates of the Caribbean: On Stranger Tides,2
Men in Black 3,2
The Hobbit: The Battle of the Five Armies,2
The Amazing Spider-Man,2
Robin Hood,2
The Hobbit: The Desolation of Smaug,2
The Golden Compass,2
King Kong,2
Titanic,2
Captain America: Civil War,2
Battleship,2
Jurassic World,2
Skyfall,2
Spider-Man 2,2
Iron Man 3,2
Alice in Wonderland,2
X-Men: The Last Stand,2
Monsters University,2
Transformers: Revenge of the Fallen,2
Transformers: Age of Extinction,2
Oz: The Great and Powerful,2
The Amazing Spider-Man 2,2
TRON: Legacy,2
Cars 2,2
Green Lantern,2
Toy Story 3,2
Terminator Salvation,2
Furious 7,2
World War Z,2
X-Men: Days of Future Past,2
Star Trek Into Darkness,2
Jack the Giant Slayer,2
The Great Gatsby,2
Prince of Persia: The Sands of Time,2
Pacific Rim,2
Transformers: Dark of the Moon,2
Indiana Jones and the Kingdom of the Crystal Skull,2
The Good Dinosaur,2
Brave,2
Star Trek Beyond,2
WALL·E,2
Rush Hour 3,2
2012,2
A Christmas Carol,2
Jupiter Ascending,2
The Legend of Tarzan,2
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2
X-Men: Apocalypse,2
The Dark Knight,2
Up,2
Monsters vs Aliens,2
Iron Man,2
Hugo,2
Wild Wild West,2
The Mummy: Tomb of the Dragon Emperor,2
Suicide Squad,2
Evan Almighty,2
Edge of Tomorrow,2
Waterworld,2
G.I. Joe: The Rise of Cobra,2
Inside Out,2
The Jungle Book,2
Iron Man 2,2
Snow White and the Huntsman,2
Maleficent,2
Dawn of the Planet of the Apes,2
The Lovers,3
47 Ronin,2
Captain America: The Winter Soldier,2
Shrek Forever After,2
Tomorrowland,2
Big Hero 6,2
Wreck-It Ralph,2
The Polar Express,2
Independence Day: Resurgence,2
How to Train Your Dragon,2
Terminator 3: Rise of the Machines,2
Guardians of the Galaxy,2
Interstellar,2
Inception,2
Shin Godzilla,3
The Hobbit: An Unexpected Journey,2
The Fast and the Furious,3
The Curious Case of Benjamin Button,2
X-Men: First Class,2
The Hunger Games: Mockingjay - Part 2,2
The Sorcerer's Apprentice,2
Poseidon,2
Alice Through the Looking Glass,2
Shrek the Third,2
Warcraft,2
Terminator Genisys,2
The Chronicles of Narnia: The Voyage of the Dawn Treader,2
Pearl Harbor,2
Transformers,2
Alexander,2
Harry Potter and the Order of the Phoenix,2
Harry Potter and the Goblet of Fire,2
Hancock,2
I Am Legend,2
Charlie and the Chocolate Factory,2
Ratatouille,2
Batman Begins,2
Madagascar: Escape 2 Africa,2
Night at the Museum: Battle of the Smithsonian,2
X-Men Origins: Wolverine,2
The Matrix Revolutions,2
Frozen,2
The Matrix Reloaded,2
Thor: The Dark World,2
Mad Max: Fury Road,2
Angels & Demons,2
Thor,2
Bolt,2
G-Force,2
Wrath of the Titans,2
Dark Shadows,2
Mission: Impossible - Rogue Nation,2
The Wolfman,3
Bee Movie,2
Kung Fu Panda 2,2
The Last Airbender,2
Mission: Impossible III,2
White House Down,2
Mars Needs Moms,2
Flushed Away,2
Pan,2
Mr. Peabody & Sherman,2
Troy,2
Madagascar 3: Europe's Most Wanted,2
Die Another Day,2
Ghostbusters,2
Armageddon,2
Men in Black II,2
Beowulf,3
Kung Fu Panda 3,2
Mission: Impossible - Ghost Protocol,2
Rise of the Guardians,2
Fun with Dick and Jane,3
The Last Samurai,2
Exodus: Gods and Kings,2
Star Trek,2
Spider-Man,2
How to Train Your Dragon 2,2
Gods of Egypt,2
Stealth,3
Watchmen,2
Lethal Weapon 4,2
Hulk,2
G.I. Joe: Retaliation,2
Sahara,3
Final Fantasy: The Spirits Within,3
Captain America: The First Avenger,2
The World Is Not Enough,2
Master and Commander: The Far Side of the World,2
The Twilight Saga: Breaking Dawn - Part 2,2
Happy Feet Two,2
The Incredible Hulk,2
The BFG,2
The Revenant,2
Turbo,2
Rango,2
Penguins of Madagascar,2
The Bourne Ultimatum,2
Kung Fu Panda,2
Ant-Man,2
The Hunger Games: Catching Fire,2
Home,2
War of the Worlds,2
Bad Boys II,2
Puss in Boots,2
Salt,2
Noah,2
The Adventures of Tintin,2
